cod_caminho,municipio
01,Acaiaca
01,Alvinópolis
01,"Alvorada de Minas"
01,"Barão de Cocais"
01,"Barra Longa"
01,"Bela Vista de Minas"
01,"Bento Rodrigues"
01,"Bom Jesus do Amparo"
01,Camargos
01,Carmésia
01,"Catas Altas"
01,Cocais
01,"Conceição do Mato Dentro"
01,"Congonhas do Norte"
01,Corregos
01,"Couto de Magalhães de Minas"
01,Datas
01,Diamantina
01,"Dom Joaquim"
01,"Dores de Guanhães"
01,"Felício dos Santos"
01,Ferros
01,Gouveia
01,Guanhães
01,Ipoema
01,Itabira
01,"Itambé do Mato Dentro"
01,Itapanhoacanga
01,Jaboticatubas
01,"João Monlevade"
01,"Lagoa Santa"
01,"Lapinha da Serra"
01,Mariana
01,"Milho Verde"
01,Monjolos
01,"Morro D´Agua Quente"
01,"Morro do Pilar"
01,"Nova União"
01,"Ouro Preto"
01,Passabém
01,"Ponte Nova"
01,"Presidente Kubitschek"
01,"Rio Piracicaba"
01,Sabinópolis
01,"Santa Bárbara"
01,"Santa Luzia"
01,"Santa Maria de Itabira"
01,"Santana de Pirapama"
01,"Santa Rita Durão"
01,"Santo Antônio do Itambé"
01,"Santo Antônio do Norte (Tapera)"
01,"Santo Antônio do Rio Abaixo"
01,"Santo Hipólito"
01,"São Gonçalo do Rio Abaixo"
01,"São Gonçalo do Rio das Pedras"
01,"São Gonçalo do Rio Preto"
01,"São Sebastião do Rio Preto"
01,"Senhora do Carmo"
01,"Senhora do Porto"
01,"Serra Azul de Minas"
01,"Serra do Cipó - Santana do Riacho"
01,Serro
01,"Taquaraçu de Minas"
01,"Três Barras"
01,Vau
02,"Alfredo Vasconcelos"
02,"Alto Rio Doce"
02,"Antônio Carlos"
02,Areal
02,Barbacena
02,"Belmiro Braga"
02,"Bias Fortes"
02,"Capela Nova"
02,Caranaíba
02,Carandaí
02,"Catas Altas da Noruega"
02,Chácara
02,Chapada
02,Chiador
02,Cipotânea
02,"Comendador Levy Gasparian"
02,"Conceição de Ibitipoca"
02,"Conselheiro Lafaiete"
02,"Coronel Pacheco"
02,"Cristiano Otoni"
02,"Desterro do Melo"
02,"Diogo de Vasconcelos"
02,"Ewbank da Câmara"
02,Ibertioga
02,"Inconfidencia (Sebollas)"
02,Itaipava
02,Itatiaia
02,Itaverava
02,"Juiz de Fora"
02,Lamim
02,"Lavras Novas"
02,"Lima Duarte"
02,Magé
02,"Matias Barbosa"
02,Mercês
02,"Monte Serrat"
02,Olaria
02,"Oliveira Fortes"
02,"Ouro Branco"
02,"Ouro Preto"
02,Paiva
02,"Paraíba do Sul"
02,"Pedro do Rio"
02,"Pedro Teixeira"
02,Petrópolis
02,Piau
02,Piranga
02,"Porto Estrela"
02,"Presidente Bernardes"
02,"Queima Sangue"
02,Queluzito
02,Ressaquinha
02,"Rio de Janeiro"
02,"Rio Espera"
02,"Rio Pomba"
02,"Santa Bárbara do Tugúrio"
02,"Santana do Deserto"
02,"Santana do Garambéu"
02,"Santana dos Montes"
02,"Santa Rita de Ibitipoca"
02,"Santos Dumont"
02,Secretário
02,"Senhora de Oliveira"
02,"Senhora dos Remédios"
02,"Simão Pereira"
02,"Três Rios"
03,Aiuruoca
03,Alagoa
03,"Alto Maranhão"
03,Amarantina
03,Andrelândia
03,Aparecida
03,Arapeí
03,Areias
03,Baependi
03,Bananal
03,Barroso
03,"Belo Vale"
03,Bichinho
03,"Cachoeira do Campo"
03,"Cachoeira Paulista"
03,Cambuquira
03,Campanha
03,Canas
03,"Capela do Saco"
03,Caquende
03,"Carmo de Minas"
03,Carrancas
03,"Casa Grande"
03,Caxambu
03,"Conceição da Barra de Minas"
03,"Conceição do Rio Verde"
03,Congonhas
03,"Coronel Xavier Chaves"
03,Cristina
03,Cruzeiro
03,Cruzília
03,Cunha
03,"Delfim Moreira"
03,"Desterro de Entre Rios"
03,"Dom Viçoso"
03,"Dores de Campos"
03,"Engenheiro Corrêa"
03,"Entre Rios de Minas"
03,Glaura
03,Guaratinguetá
03,Ibituruna
03,Ingaí
03,Itamonte
03,Itanhandu
03,Itutinga
03,Jeceaba
03,Jesuânia
03,"Lagoa Dourada"
03,Lagoinha
03,Lambari
03,Lavras
03,Lavrinhas
03,"Lobo Leite"
03,Lorena
03,Luminárias
03,"Madre de Deus de Minas"
03,"Maria da Fé"
03,Marmelópolis
03,"Miguel Burnier"
03,Minduri
03,Moeda
03,Nazareno
03,"Olímpio Noronha"
03,"Ouro Preto"
03,Paraty
03,"Passa Quatro"
03,"Passa Tempo"
03,Pedralva
03,Pequeri
03,"Piedade do Rio Grande"
03,Pindamonhangaba
03,Piquete
03,Piquiri
03,Potim
03,"Pouso Alto"
03,Prados
03,Queluz
03,"Resende Costa"
03,Ritápolis
03,Roseira
03,"Santa Cruz de Minas"
03,"Santana do Capivari"
03,"Santo Antônio do Leite"
03,"São Bartolomeu"
03,"São Brás do Suaçuí"
03,"São João del Rei"
03,"São José do Barreiro"
03,"São Lourenço"
03,"São Luiz do Paraitinga"
03,"São Sebastião da Vitória"
03,"São Sebastião do Rio Verde"
03,"São Thomé das Letras"
03,"São Tiago"
03,"São Vicente de Minas"
03,Seritinga
03,Serranos
03,Silveiras
03,"Soledade de Minas"
03,Taubaté
03,Tiradentes
03,Traituba
03,Tremembé
03,"Três Corações"
03,"Vila Embaú"
03,Virgínia
03,"Wenceslau Braz"
04,Acuruí
04,Brumadinho
04,Caeté
04,Cocais
04,Glaura
04,"Honório Bicalho"
04,Itabirito
04,"Morro Vermelho"
04,"Nova Lima"
04,Raposos
04,"Rio Acima"
04,Sabará
